Item Status,Item,Cert Number,Grade Issuer,Grade,Autograph Grade,Year,Set,Card Number,Subject,Variety,Serial,Category,My Cost,PSA Estimate,Gain/Loss,My Value,Date Acquired,Source,My Notes,Vault Status,Vaulted Date,Days Vaulted,Listing Status,Listing Date,Listing Price,Sold Status,Sold On,Sold Date,Sold Price,Sold Fees,Sold Proceeds,Payment Date
Active,1986 FLEER #57 MICHAEL JORDAN,139827926,PSA,7,-,1986,FLEER,57,MICHAEL JORDAN,-,-,-,-,8630.45,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1991 UPPER DECK #SP1 MICHAEL JORDAN,141090743,PSA,10,-,1991,UPPER DECK,SP1,MICHAEL JORDAN,-,-,-,-,1052.62,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1981 TOPPS #302 DODGERS FUTURE STAR PERCONTE/SCIOSCIA/VALENZUELA,141090748,PSA,6,-,1981,TOPPS,302,DODGERS FUTURE STAR,PERCONTE/SCIOSCIA/VALENZUELA,-,-,-,28.73,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1980 TOPPS #500 TOM SEAVER,141090745,PSA,5,-,1980,TOPPS,500,TOM SEAVER,-,-,-,-,7.99,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1989 COLLEGIATE COLLECTION NORTH CAROLINA #65 MICHAEL JORDAN,141090750,PSA,9,-,1989,COLLEGIATE COLLECTION NORTH CAROLINA,65,MICHAEL JORDAN,-,-,-,-,21.86,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1989 FLEER #616 BILL RIPKEN FF ERROR,141090746,PSA,9,-,1989,FLEER,616,BILL RIPKEN,FF ERROR,-,-,-,189.8,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1989 PRO SET #494 BARRY SANDERS,141090747,PSA,9,-,1989,PRO SET,494,BARRY SANDERS,-,-,-,-,30.06,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1989 COLLEGIATE COLLECTION NORTH CAROLINA #200 1982 NCAA CHAMPIONS,141090749,PSA,10,-,1989,COLLEGIATE COLLECTION NORTH CAROLINA,200,1982 NCAA CHAMPIONS,-,-,-,-,53.92,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1981 TOPPS #20 KAREEM ABDUL-JABBAR,141090744,PSA,7,-,1981,TOPPS,20,KAREEM ABDUL-JABBAR,-,-,-,-,15.3,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1985 NIKE MICHAEL JORDAN PROMO,141227813,PSA,6,-,1985,NIKE,-,MICHAEL JORDAN,PROMO,-,-,-,1016.22,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
Active,1986 FLEER STICKER #8 MICHAEL JORDAN,141227812,PSA,5,-,1986,FLEER STICKER,8,MICHAEL JORDAN,-,-,-,-,913.14,-,-,-,-,-,Unvaulted,-,-,-,-,-,-,-,-,-,-,-,-
